Nodes	x	y
1	0	0	
2	2	0	
3	6	0	
4	10	0	
5	14	0
6	18	0
7	20	0
8	0	1.75
9	2	1.75
10	4	1.75
11	6	1.75
12	8	1.75
13	10	1.75
14	12	1.75
15	14	1.75
16	16	1.75
17	18	1.75
18	20	1.75
19	0	3.5
20	2	3.5
21	4	3.5
22	6	3.5
23	8	3.5
24	10	3.5
25	12	3.5
26	14	3.5
27	16	3.5
28	18	3.5
29	20	3.5
30	0	5.25
31	2	5.25
32	4	5.25
33	6	5.25
34	8	5.25
35	10	5.25
36	12	5.25
37	14	5.25
38	16	5.25
39	18	5.25
40	20	5.25
41	0	7
42	2	7
43	4	7
44	6	7
45	8	7
46	10	7
47	12	7
48	14	7
49	16	7
50	18	7
51	20	7
52	0	8.75
53	2	8.75
54	4	8.75
55	6	8.75
56	8	8.75
57	10	8.75
58	12	8.75
59	14	8.75
60	16	8.75
61	18	8.75
62	20	8.75
63	0	10.5
64	4	10.5
65	8	10.5
66	12	10.5
67	16	10.5
68	20	10.5
Joints	nodes1	nodes2
1	1	2
2	2	3	
3	3	4
4	4	5
5	5	6
6	6	7
7	1	8
8	2	9
9	3	11
10	4	13
11	5	15
12	6	17
13	7	18
14	8	9
15	9	10
16	10	11
17	11	12
18	12	13
19	13	14
20	14	15
21	15	16
22	16	17
23	17	18
24	8	19
25	10	21
26	12	23
27	14	25
28	16	27
29	18	29
30	19	20
31	20	21
32	21	22
33	22	23
34	23	24
35	24	25
36	25	26
37	26	27
38	27	28
39	28	29
40	19	30
41	20	31
42	22	33
43	24	35
44	26	37
45	28	39
46	29	40
47	30	41
48	32	43
49	34	45
50	36	47
51	38	49
52	40	51
53	41	42
54	42	43
55	43	44
56	44	45
57	45	46
58	46	47
59	47	48
60	48	49
61	49	50
62	50	51
63	41	52
64	42	53
65	44	55
66	46	57
67	48	59
68	50	61
69	51	62
70	52	53
71	53	54
72	54	55
73	55	56
74	56	57
75	57	58
76	58	59
77	59	60
78	60	61
79	61	62
80	52	63
81	54	64
82	56	65
83	58	66
84	60	67
85	62	68
86	63	64
87	64	65
88	65	66
89	66	67
90	67	68
91	30	31
92	31	32
93	32	33
94	33	34
95	34	35
96	35	36
97	36	37
98	37	38
99	38	39
100	39	40
Blocks joints
1	1	8	14	7	
2	2	9	16	15	8
3	3	10	18	17	9
4	4	11	20	19	10
5	5	12	22	21	11
6	6	13	23	12
7	14	15	25	31	30	24
8	16	17	26	33	32	25
9	18	19	27	35	34	26
10	20	21	28	37	36	27
11	22	23	29	39	38	28
12	30	41	91	40
13	31	32	42	93	92	41
14	33	34	43	95	94	42
15	35	36	44	97	96	43
16	37	38	45	99	98	44
17	39	46	100	45
18	91	92	48	54	53	47
19	93	94	49	56	55	48
20	95	96	50	58	57	49
21	97	98	51	60	59	50
22	99	100	52	62	61	51
23	53	64	70	63
24	54	55	65	72	71	64
25	65	56	57	66	74	73
26	58	59	67	76	75	66
27	67	60	61	68	78	77
28	62	69	79	68
29	70	71	81	86	80
30	72	73	82	87	81
31	82	74	75	83	88
32	83	76	77	84	89
33	78	79	85	90	84		
end

